address,symbol,decimals,img,network
0xb753428af26e81097e7fd17f40c88aaa3e04902c,SFI,18,https://img.paraswap.network/SFI.png,1
0x7d91e637589EC3Bb54D8213a9e92Dc6E8D12da91,FWB,4,https://img.paraswap.network/token.png,1
0x4eCB692B0fEDeCD7B486b4c99044392784877E8C,CHERRY,4,https://img.paraswap.network/token.png,1
0xdfe691F37b6264a90Ff507EB359C45d55037951C,KARMA,4,https://img.paraswap.network/token.png,1
0xf552b656022c218C26dAd43ad88881Fc04116F76,MORK,4,https://img.paraswap.network/token.png,1
0x9355372396e3F6daF13359B7b607a3374cc638e0,WHALE,4,https://img.paraswap.network/token.png,1
0xe6710e0CdA178f3D921f456902707B0d4C4A332B,JULIEN,4,https://img.paraswap.network/token.png,1
0x35872fea6A4843fACBCDbCe99e3B69596A3680b8,1337,4,https://img.paraswap.network/token.png,1
0xAf162491C0B21900C01F4Cc0F7110238AAcdebE7,BEAR,4,https://img.paraswap.network/token.png,1
0x833E4c02c47B7e38f5b9A80b26eb07D23d1961f4,FAMILY,4,https://img.paraswap.network/token.png,1
0xA9248F8e40d4b9c3Ca8ebd8E07E9BCB942C616d8,ARKE,4,https://img.paraswap.network/token.png,1
0x1eCe1739DAE08253aE582C404511B37355B42C84,PICA,4,https://img.paraswap.network/token.png,1
0xBcc66ed2aB491e9aE7Bf8386541Fb17421Fa9d35,SKULL,4,https://img.paraswap.network/token.png,1
0x1287c0509df9a475Ef178471aB2132b9dfD312B3,LADZ,4,https://img.paraswap.network/token.png,1
0x6BFfa07a1B0ceBC474cE6833eAf2bE6326252449,BAEPAY,4,https://img.paraswap.network/token.png,1
0x56687cf29Ac9751Ce2a4E764680B6aD7E668942e,JAMM,4,https://img.paraswap.network/token.png,1
0x8BA6DcC667d3FF64C1A2123cE72FF5F0199E5315,ALEX,4,https://img.paraswap.network/token.png,1
0xE5f55a3b74874531a99359b833b92866A6609f6B,ATS,4,https://img.paraswap.network/token.png,1
0x174897edD3ce414084A009d22db31C7b7826400d,JOON,4,https://img.paraswap.network/token.png,1
0x81B1bFD6CB9Ad42DB395c2a27F73D4DCf5777e2D,RARE,4,https://img.paraswap.network/token.png,1
0x7841B2A48D1F6e78ACeC359FEd6D874Eb8a0f63c,KERMAN,4,https://img.paraswap.network/token.png,1
0x3A75731f9e16244dE01DD431636Db7c07D42A166,BONES,4,https://img.paraswap.network/token.png,1
0xa19A40FbD7375431fAB013a4B08F00871B9a2791,SWAGG,4,https://img.paraswap.network/token.png,1
0x39Ad22C916F42aF5f67371d6f2Fb0dab42321a89,OSINA,4,https://img.paraswap.network/token.png,1
0x9903A4Cd589DA8e434f264deAFc406836418578E,FIRST,4,https://img.paraswap.network/token.png,1
0xA809CeDeE9B61956c768EAa10272dd5E0FD1A985,CAMI,4,https://img.paraswap.network/token.png,1
0x8db6Da2120b346FAa7f206841f2FB005BBE0DFD8,PAUL,4,https://img.paraswap.network/token.png,1
0xdc8092AaF83e00Ebf9B01A2e90b7B7eF867ba503,CALVIN,4,https://img.paraswap.network/token.png,1
0x537A9095b78517597b5f2058EDcd6E1978095909,DSGN,4,https://img.paraswap.network/token.png,1
0x1e906717De2E4A4600F13b6909736b0346bDde3E,PIXEL,4,https://img.paraswap.network/token.png,1
